id,sender_id,receiver_id,content,content_type,timestamp,status
1,8742cdd5-1610-4472-b3dc-de4d54223d77,bb461247-b0a6-4dcd-b18d-16cddb605a3e,Have a great day!,TEXT,2025-02-22 18:45:10.817,DELIVERED
2,d26b7a65-19a4-4143-a8b2-3ce289b06405,ff1f145b-9dd1-447c-91af-7502c17775e3,Let's meet tomorrow.,TEXT,2025-03-12 12:24:10.817,PENDING
3,d26b7a65-19a4-4143-a8b2-3ce289b06405,bb461247-b0a6-4dcd-b18d-16cddb605a3e,What's up?,TEXT,2025-03-06 19:51:10.817,DELIVERED
4,8742cdd5-1610-4472-b3dc-de4d54223d77,ff1f145b-9dd1-447c-91af-7502c17775e3,I'll be there in 10 mins.,TEXT,2025-02-11 13:19:10.817,DELETED
5,8742cdd5-1610-4472-b3dc-de4d54223d77,bb461247-b0a6-4dcd-b18d-16cddb605a3e,See you later.,TEXT,2025-03-10 17:04:10.817,PENDING
6,bb461247-b0a6-4dcd-b18d-16cddb605a3e,ba1a10af-b0b8-4cb3-8e45-301986fc6d4b,What's up?,TEXT,2025-03-06 01:39:10.817,READ
7,ff1f145b-9dd1-447c-91af-7502c17775e3,8742cdd5-1610-4472-b3dc-de4d54223d77,I'll be there in 10 mins.,TEXT,2025-02-12 06:42:10.817,READ
8,d26b7a65-19a4-4143-a8b2-3ce289b06405,bb461247-b0a6-4dcd-b18d-16cddb605a3e,I'll be there in 10 mins.,TEXT,2025-02-25 21:57:10.817,PENDING
9,e12d414f-869e-4944-b7fc-92bad20398a3,b3dc9dcd-7883-4fd9-b5bd-08a0496aeafe,Good morning!,TEXT,2025-02-23 15:00:10.817,PENDING
10,ff1f145b-9dd1-447c-91af-7502c17775e3,8742cdd5-1610-4472-b3dc-de4d54223d77,Let's meet tomorrow.,TEXT,2025-03-07 15:40:10.817,DELETED
11,bb461247-b0a6-4dcd-b18d-16cddb605a3e,e12d414f-869e-4944-b7fc-92bad20398a3,Have a great day!,TEXT,2025-03-01 22:55:10.817,PENDING
12,e12d414f-869e-4944-b7fc-92bad20398a3,ba1a10af-b0b8-4cb3-8e45-301986fc6d4b,Good night!,TEXT,2025-03-09 19:56:10.817,DELIVERED
13,e12d414f-869e-4944-b7fc-92bad20398a3,bb461247-b0a6-4dcd-b18d-16cddb605a3e,Let's meet tomorrow.,TEXT,2025-03-06 07:48:10.817,READ
14,b3dc9dcd-7883-4fd9-b5bd-08a0496aeafe,e12d414f-869e-4944-b7fc-92bad20398a3,What's up?,TEXT,2025-03-06 15:12:10.817,DELETED
15,ba1a10af-b0b8-4cb3-8e45-301986fc6d4b,ff1f145b-9dd1-447c-91af-7502c17775e3,Let's meet tomorrow.,TEXT,2025-03-10 12:48:10.817,DELETED
16,d26b7a65-19a4-4143-a8b2-3ce289b06405,e12d414f-869e-4944-b7fc-92bad20398a3,"Hey, how are you?",TEXT,2025-03-04 10:54:10.817,READ
